164.152.61.166:50478#São Paulo@4178
144.22.144.168:4242#São Paulo@4179
152.70.214.15:46790#São Paulo@4181
38.180.79.9:443#São Paulo@4182
132.226.163.224:8443#São Paulo@4183
168.138.141.235:2053#São Paulo@4184
144.22.252.124:443#São Paulo@4185
144.22.204.102:50317#São Paulo@4186
38.180.78.255:443#São Paulo@4189
146.235.59.153:8443#São Paulo@4191
